scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags
"Shahu, Phule, Ambedkar Award",spaa,"The ""Shahu, Phule, Ambedkar Award"" is an award by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. The award is given to the Registered Organizations working in various fields of Social Justice, doing Social Reforms in the state, and taking Maharashtra forward as a social reformist State. Only the Institutions/Organizations located within the State of Maharashtra can apply to this scheme. This scheme is 100% funded by the Govt. of Maharashtra. This scheme is 100% funded by the Govt. of Maharashtra.","The institute will be given ₹15,00,000/- as a prize along with a Memento and a Silver Krol Citation. A total of 7 awards will be given for 7 regions.",The Institute/Organization should be located within the state of Maharashtra. The Institute/Organization should have done work in the field of Social Justice in the state of Maharashtra. The period of the Social Service should be 15 years & above in the state of Maharashtra.,"Step 1: Visit the District Social Welfare Office , and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the Assistant Commissioner, District Social Welfare Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","Proof of Registration as a Organization/Institute issued by the authorized officer by the Govt. of Maharashtra. Proof of Social Service for a period of 15 years and above. Character Verification Report in favor of the President and the Secretary of the organization issued by the Superintendent of Police or the Police Commissioner. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the District Social Welfare Office.",State,Social welfare & Empowerment,,"Award, Social Welfare, Financial Assistance"
Shravanbal Seva State Pension Scheme,sbssps,"The ""Shravanbal Seva State Pension Scheme"" is a Pension Scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, a monthly pension of ₹ 600/- is provided to destitute persons in the state of Maharashtra. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","₹ 600/- per month is given to each beneficiary. ﻿ Group (A): The destitute men and women who are 65 years or above in age, and whose family is listed as ""Below Poverty Line"", are provided a monthly pension of ₹ 600/-. In this pension, ₹ 200/- per month is provided under Indira Gandhi Old Age Pension Scheme (Central Govt.), and ₹ 400/- per month under Shravan Bal State Pension Scheme. ﻿ Group (B): The destitute men and women who are 65 years or above in age, whose family is not listed as ""Below Poverty Line"", and whose annual family income is less than or equal to ₹ 21,000 are provided a monthly pension of ₹ 600/- entirely by the Shravan Bal State Pension Scheme.","The applicant should be a citizen of India. The applicant should be a domicile / permanent resident of the state of Maharashtra for at least 15 years. The applicant should be destitute. The applicant should be 65 years or above in age. The name of the applicant should be in the list of Below Poverty Line (BPL) families OR the annual income of the family should be less than or equal to ₹ 21,000/-.","﻿ Registration: ﻿ ﻿ Step 1: Visit the Official Portal of Aaple Sarkar (Maha DBT). On the right pane (green), click ""New User? Register Here"". You will be directed to the Registration Page . ﻿ Step 2: Verify your Email ID and Mobile Number using OTP and then create a Unique Username and Password. (You will also find the link to the Registration Manual on the top right of the page.) ﻿ In the ""Applicant Detail"" section, fill in the following mandatory fields: Salutation, Full Name(English), Full Name(Marathi), Father's Salutation, Father's Name (English), Father's Name(Marathi), Date of Birth, Age, Gender, Occupation. ﻿ In the ""Applicant's Address"" section, fill in the following mandatory fields: Address (English), Address (Marathi), Street (English), Street (Marathi), Section (English), Section (Marathi), Building (English), Building (Marathi), Landmark (English), Landmark (Marathi), District, Taluka, Village, Pincode ﻿ In the ""Mobile No. & Username Verification"" section, fill in the following mandatory fields: 10-digit Mobile Number (to be verified via OTP), PAN No, User Name, Email ID (to be verified via OTP), Password, and Confirm Password. ﻿ In the "" Upload your Photograph "" section, upload your passport-sized photograph following the instructions given below: 1. The file size should fall between 5 KB to 20 KB. 2. The format should be JPEG. 3. The width should be 160 pixels. 4. The height should fall between 200 to 212 pixels. ﻿ In the ""Proof Of Identity"" section, upload ANY ONE of the following documents: PAN Card, Voter ID Card (POI), Passport (POI), Aadhaar Card (POI), Driving License (POI), Government / Semi-Government ID, Proof MNREGA Job Card, RSBY Card. The format should be JPEG/ PDF, and the file size should be between 75 KB to 256 KB. ﻿ In the ""Proof Of Address"" section, upload ANY ONE of the following documents: Ration Card Passport (POA), Aadhaar Card (POA), Driving License (POA), Voter ID Card (POA), Extracts of 7/12 and 8 A, Property Tax Receipt, Property Agreement Copy, Water Bill, Electricity Bill, Telephone Bill, Rent Receipt. ﻿ Step 3: At the bottom of the Registration Page, read the following declaration carefully: ""I declare that the above-mentioned information submitted by me is true and correct to my knowledge and belief. I hereby agree to be liable for legal consequences for any information found incorrect or false under section 200 of the Indian penal code 1960."" ﻿ Select the ""I accept"" checkbox, and click ""Register"". Your Login Credentials will be shared over your registered Email ID and Mobile Number. ﻿ Application: ﻿ Step 1: Visit the Official Portal of Aaple Sarkar (Maha DBT). On the right pane (green), click ""Already Registered? Login Here"". Provide your Username and Password. Fill in the Captcha Code, Select your District from the dropdown menu, and click ""Login"". ﻿ Step 2: On the next page, in the left pane, click ""All Schemes"". From the dropdown menu, select the Department Name, and the name of the scheme that you seek to apply for. Click ""Apply"" against the concerned scheme. ﻿ Step 3: Fill in all the mandatory fields and upload the mandatory documents, and click ""Apply"". A popup message acknowledging the successful submission of the application will be displayed, along with the Application ID: ""Dear [Username], you have successfully applied for [Scheme Name]. Your Application ID is [Application ID here]."" ﻿ The Application ID will also be shared over your registered Email ID and Mobile Number. Save this Application ID for future reference and for checking the application status. ﻿ Step 4: You can also view the status of your applications (Under Scrutiny / Approved / Rejected / Fund Disbursed) using the ""My Applied Scheme History"" in the left pane.","Aadhaar Card. 2-Passport Sized Photograph (Signed Across). Proof of Age. Income Certificate / BPL Card of the Family (if applicable) Residential Certificate / Domicile Certificate of the State of Maharashtra. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the District Social Welfare Office.",State,"Social welfare & Empowerment, Banking,Financial Services and Insurance",,"Pension, Financial Assistance, Destitute, Below Poverty Line, Senior Citizen"
Special Education And Vocational Training Through Government Institutions,sevtgi,"The ""Special Education and Vocational Training through Government Institutions"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, Special Education is provided to children with disability between the age group of 6 to 18 years in the Government Special Schools and Vocational Training is provided to special children above the age of 18 years. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","The child will have access to free education in an appropriate environment till he/she attains the age of eighteen years Special children above 18 years in age will be given vocational training. The free facilities of food, shelter, clothing and education are provided in these institutions.","The applicant should be a citizen of India. The applicant should be a permanent resident of Maharashtra State. The applicant should be a Person with Disability (Visually Impaired, Hearing Impaired, Orthopedically Handicapped, etc). The percentage of disability should be 40% and above. For Special Education, the age of the applicant should be between 6 to 18 years. For Vocational Education, the age of the applicant should be 18 years and above.","Step 1: Visit the District Social Welfare Office , and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the Assistant Commissioner, District Social Welfare Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","Proof of Enrollment into the Government Institution. Aadhaar Card. Proof of Age (Birth Certificate, Marksheet of Class 10th/12th, etc) 2-Passport Sized Photograph (Signed Across) Residential Certificate / Domicile Certificate of the State of Maharashtra. Disability Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the District Social Welfare Office.",State,"Education & Learning, Social welfare & Empowerment, Skills & Employment",,"Persons With Disability, Education, Student, Vocational Education"
State Post-metric Scholarship For Disabled,spmsd,"The ""State Post-metric Scholarship for Disabled"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. The objective of this scheme is to encourage students with disability (SwDs) to pursue higher education, i.e. H.S.C., Degree, Professional, Technical, Medical, Engineering, etc. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","A. Maintenance Allowance ﻿ Group A: Degree Course in Medical, Engineering, Agricultural, Veterinary, and Postgraduate Degree Courses. Rate of Scholarship for Hosteller (in ₹ per month): 1200/- Rate of Scholarship for Day Scholar (in ₹ per month): 550/- ﻿ Group B: Diploma course in Medical, Engineering, Agricultural, and Veterinary. Rate of Scholarship for Hosteller (in ₹ per month): 820/- Rate of Scholarship for Day Scholar (in ₹ per month): 530/- ﻿ Group C: Post Graduate Course in Arts, Science, Commerce, and Diploma in Professional Education. Rate of Scholarship for Hosteller (in ₹ per month): 820/- Rate of Scholarship for Day Scholar (in ₹ per month): 530/- ﻿ Group D: From 2nd-year degree course Rate of Scholarship for Hosteller (in ₹ per month): 570/- Rate of Scholarship for Day Scholar (in ₹ per month): 300/- ﻿ Group E: 11th, 10th and 1st year of Degree Course Rate of Scholarship for Hosteller (in ₹ per month): 380/- Rate of Scholarship for Day Scholar (in ₹ per month): 230/- ﻿ B. Reader Allowance for Blind and Low-Vision Students. ﻿ Group A, B, C (in ₹ per month): 100/- ﻿ Group D (in ₹ per month): 75/- ﻿ Group E (in ₹ per month): 50/- ﻿ C. Tuition Fees (in ₹ per month): As approved by the competent authority. ﻿ D. Study Tour Expenditure (in ₹ per annum): 500/- ﻿ E. Project Typing Expenditure (in ₹ per annum): 600/-","The applicant should be a citizen of India. The applicant should be a domicile / permanent resident of the state of Maharashtra. The applicant should be a student admitted/enrolled in a school recognized by the Govt. of Maharashtra. The applicant should be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc). The percentage of the disability should be 40% or above. The applicant should have passed class 10th. The applicant should not have failed in the last qualifying examination. The applicant should be pursuing a post-metric qualification, i.e. Higher Secondary School (Class 11th, Class 12th), or a Technical/Professional Degree in Medical, Engineering, etc.","Step 1: Request a hard copy of the format of the application form for the scheme from the concerned authority at your school/college. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority at your school/college. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the concerned authority at your school/college.","Aadhaar Card. 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Disability Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Proof of the Latest Educational Qualification (Passing Certificate or Marksheet) Proof of Passing Class 10th. Bonafide Certificate from the School/College Proof of Pursuance of a Post-Matric Qualification (Fee Receipt, etc) Any other document required by the School/College or the District Social Welfare Office.",State,"Education & Learning, Social welfare & Empowerment",,"Persons With Disability, Social Welfare, Financial Assistance, Post-Matric, Student, Scholarship"
State Pre-metric Scholarship For Disabled,spremsd,"The ""State Pre-metric Scholarship for Disabled"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. The objective of this scheme is to encourage students with disability (SwDs) to pursue education. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.",Class: 1st to 4th Rate of Scholarship (₹ per month): 100/- ﻿ Class: 5th to 7th Rate of Scholarship (₹ per month): 150/- ﻿ Class: 8th to 10th Rate of Scholarship (₹ per month): 200/- ﻿ Class: Mentally Retarded and Mentally Ill (up to the age of 18 years) Rate of Scholarship (₹ per month): 150/- ﻿ Class: For disabled trainees in the workshop Rate of Scholarship (₹ per month): 300/-,"The applicant should be a citizen of India. The applicant should be a domicile / permanent resident of the state of Maharashtra. The applicant should be a student admitted/enrolled in a school recognized by the Govt. of Maharashtra. The applicant should be a Person with Disability (Visually Handicapped, Low Vision, Hearing Impaired, Orthopedically Handicapped, etc). The percentage of the disability should be 40% or above. The applicant should not have failed in the last qualifying examination. The applicant should be pursuing a pre-metric qualification, i.e. Class 1st to Class 10th.","Step 1: Request a hard copy of the format of the application form for the scheme from the concerned authority at your school/college. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority at your school/college. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the concerned authority at your school/college.","Aadhaar Card. 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Disability Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Proof of the Latest Educational Qualification (Passing Certificate or Marksheet). Bonafide Certificate from the School/College. Proof of Pursuance of a Pre-Matric Qualification (Fee Receipt, etc). Any other document required by the School/College or the District Social Welfare Office.",State,"Education & Learning, Social welfare & Empowerment",,"Persons With Disability, Student, Pre-Matric, School, Scholarship"
Stipends To Trainees In Industrial Training Institute,stiti,"The scheme “Stipends to Trainees in Industrial Training Institute” was launched by the Department of Social Justice and Special Assistance, Government of Maharashtra for Scheduled Caste students in Industrial Training Institute (ITI). The objective of the scheme is to provide Technical Training to Scheduled Caste students in ITI for their job opportunities. Under the scheme, the students of the SC category residing in the hostel of the organization Department of Technical Education gives ₹60/- per month and the Social Welfare department gives them ₹ 40/- per month.",₹60/- per month will be given to student residing in the hostel of the organization Department of Technical Education. ₹ 40/- per month will be given by the Social welfare department to student residing in the hostel of the organization Department of Technical Education. ₹100/- per month will be given by the social welfare department to those student who do not get anything from the organization's Department of Technical Education. ﻿,The applicant must be a permanent resident of Maharashtra. The student should belong to Scheduled Caste (SC) category. It is mandatory for the student should take training in a recognized Industrial Training Institute. The annual income of the applicant’s father should not be more than ₹ 65290/-.,"Step 01: The applicant wishing to apply for this scheme may apply through his/her respective Industrial Training Institute (ITI). Step 02: The applicant may contact his/her principal of the Institute. Step 03: Further, the applicant may contact his/her related District Social Welfare Officer, Zillah Parishad.",Identity proof i.e. Aadhar Card Caste certificate Father’s income certificate Bank details Educational certificate,State,"Skills & Employment, Social welfare & Empowerment, Education & Learning",,"Stipends, Trainees, ITI, Scheduled Caste, Students"
Swarnima,sma,"The scheme ""Swarnima by the Department of Social Justice & Special Assistance, Government of Maharashtra, is jointly funded by the National Backward Classes Finance & Development Corporation, New Delhi, and the State Corporation. This scheme provides low-interest loans directly deposited into the bank accounts of female beneficiaries from Other Backward Classes (OBC) to support self-employment activities and enhance financial independence. ﻿ ﻿ ﻿ ﻿ ﻿ ﻿ ﻿","Financial assistance of up to ₹5,00,000/- per Self-Help Group (SHG) project, with ₹25,000 allocated per beneficiary (up to 20 members per SHG). Funding shares include 95% from the Central Corporation and 5% from the State Corporation. No beneficiary contribution is required. Low interest rate of 5% per annum. Repayment period of up to 3 years to ease financial planning.","The applicant should be from the Other Backward Class (OBC) category. The applicant should be a domicile of Maharashtra. The age of the applicant should be between 18 to 50 years. The annual income of the family of the applicant should be - Rural areas: Less than or equal to ₹98,000. Urban areas: Less than or equal to ₹1,20,000.","Step 1: The interested applicant should visit (during office hours) the District Office of the Leather Industries Development Corporation of Maharashtra (LIDCOM), and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.","Aadhaar Card 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Proof of Age (Birth Certificate, Marksheet of Class 10th/12th, etc). Any other document required by the District Office.",State,"Banking,Financial Services and Insurance, Women and Child",,"Other Backward Class, Women, Employment, Loan, OBC"
Term Loan Scheme,tls,"The scheme ""Term Loan Scheme"" by the Department of Social Justice & Special Assistance, Government of Maharashtra and funded by the National Scheduled Castes Finance and Development Corporation (NSFDC), aims to uplift economically disadvantaged members of the Charmakar community (Dhor, Chambhar, Holar, Mochi, etc.). The scheme focuses on their educational, economic, and social advancement, helping them secure a respectable place in society. It also supports the production of various types of footwear and leather goods for supply to government departments and sale in the open market.","Loan Amount: NSFDC provides Term Loans ranging from ₹1,00,000 to ₹2,50,000 for various schemes, with separate limits for vehicle loans. ﻿ Project Financing: NSFDC finances 75% of the project cost. The corporation provides 20% as a Seed Loan. ₹10,000 is provided as a subsidy. The remaining 5% of the project cost is contributed by the beneficiary. ﻿ Interest Rates: For Loans up to ₹5,00,000: NSFDC charges 7% per annum. The corporation charges 4% per annum. For Loans above ₹5,00,000: NSFDC charges 8% per annum. The corporation charges 4% per annum. ﻿ Repayment Terms : Loan instalments are payable monthly over a period of up to 60 months. This structure ensures clear and concise information about the Term Loan Scheme for potential beneficiaries.","The applicant should be a permanent resident of Maharashtra. The applicant should belong to the Charmakar Community. The applicant's age should be between 18 and 50 years. For the 50% Subsidy Scheme and Margin Money, the applicant's annual income should be below the poverty line. The applicant should be able to provide an Income and Caste Certificate from an authorized government officer. The applicant should have knowledge of the business for which they are applying for the loan. For the NSFDC Scheme: Income should be below ₹98,000 for rural areas. Income should be below ₹1,20,000 for urban areas.","Step 1: The interested applicant should visit (during office hours) the District Office of the Leather Industries Development Corporation of Maharashtra (LIDCOM), and request the hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.",Aadhaar Card. Caste Certificate Annual Income Certificate. Ration Card. Passport-size Photograph of the applicant and his/her spouse. Bank Passbook. Detailed Project Report. Loan Documents.,State,"Business & Entrepreneurship, Banking,Financial Services and Insurance",,"BPL, Loan, Below Poverty Line, Employment"
The Scheme Of State Award For Disabled,tssad,"The ""The Scheme of State Award for Disabled"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, every year, the State Government felicitates awards to the Best Disabled Employees / Employers / Placement Agencies who have done outstanding work in various fields. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","Category 1: Best Employees (Visually Handicapped, Hearing Handicapped, Orthopedically Handicapped, Mentally Retarded) No. of Awards: 12 Composition of Award: ₹10,000/- in Cash, a Citation, and a Certificate. ﻿ Category 2: Best Employer (Govt. / Public / Private Sector) No. of Awards: 2 Composition of Award: ₹25,000/- in Cash, a Citation, and a Certificate.","The applicant should be an Employee or an Employer or a Placement Agency. If the applicant is an Employee or an Employer: The applicant should be a Person with Disability (Visually Impaired, Hearing Impaired, Orthopedically Handicapped, etc). The percentage of disability should be 40% and above. The applicant should be a citizen of India. The applicant should be a permanent resident of the state of Maharashtra.","Step 1: Visit the District Social Welfare Office , and request a hard copy of the format of the application form for the scheme from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach all the (self-attested) mandatory documents. Step 3: Submit the duly filled and signed application form along with the documents to the Assistant Commissioner, District Social Welfare Office. Step 4: Acquire the receipt/acknowledgment of the successful submission of the application form from the District Social Welfare Office.","Aadhaar Card. Proof of Employment. Bio-Data. Proof of Outstanding Work in the respective field. Proof of Age (Birth Certificate, Marksheet of Class 10th/12th, etc). 2-Passport Sized Photograph (Signed Across). Residential Certificate / Domicile Certificate of the State of Maharashtra. Disability Certificate. Details of the Bank Account (Bank Name, Branch Name, Address, IFSC, etc). Any other document required by the District Social Welfare Office.",State,"Skills & Employment, Social welfare & Empowerment",,"Persons With Disability, Employment, Award, Placement"
"Training Of Motor Driving To VJNT, SBS & OBC",tmdvso,"The Government of Maharashtra launched a scheme that provides light and heavy motor driving, and conductor training to the needy Vimukta Jati, Nomadic Tribes, and Other Backward Class (VJNT, OBC & SBC) candidates. The scheme’s objective is to create employment chances for Vimukta Jati/Nomadic Tribes, Other Backward Classes, and Special Backward Class youth. The scheme provides light and heavy motor driving or conductor training to the needy VJNT, OBC & SBC candidates. The training is given through private motor driving schools. Under this scheme, the selected candidates are provided training with free lodging, boarding facility, License Fees, etc. Applicant should belong to VJNT, OBC, or SBC Category and Applicant should fulfill all the conditions of Age, Education, and fitness as per the Motor Vehicle Act. The government aims to provide training and Economic Uplifting with the help of employment to the youth.  Application is to be submitted to Motor Driving School approved by the Government of Maharashtra under the Social Justice and special assistance department. ﻿ Light Motor Driving Rs.4264/- for 40 Days. Heavy Motor Driving Rs.4960/- for 40 Days. Conductor Rs.1728/- for 8 Days. As per the corrigendum dated 15 March 2012 Rs.100/- per student is paid for sending the license by post as particular fee & postage charges. ﻿ ﻿","1)	If the trainee is not living at headquarters during the training period, the institution should pay Rs.300/-  for Driver and Rs.150/- for the Conductor trainee as a stipend. ﻿","Applicant should belong to VJNT, OBC or SBC Category. Applicant should fulfil all the conditions of Age, Education, and fitness as per the Motor Vehicle Act. During the training period payment for reaching & coming back from the training institute, Medical checkups, photographs, learning and permanent licence, travelling licence, batch and provision of lodging and boarding are provided by the training institution.","Step 1: Visit the Official Website of Mahadbt Portal. ﻿ ﻿ Step 2: Click on "" New Applicant Registration "". Register using your Name, Mobile Number, and Email ID. Create a Username and Password. Your Mobile Number and Email ID will be verified via OTP. ﻿ Note: The username should contain only alphabets and numbers. The username should be greater than 4 characters and less than 15 characters. ﻿ Note: Password Length should be a minimum of 8 characters and a maximum of 20 characters. Password must contain at least 1 UpperCase Alphabet, 1 Lowercase Alphabet, 1 Number, and 1 Special Character. ﻿ Step 3: Now visit to Login Page and log in using your Username and Password. You will be directed to Home Page. In the left pane, click ""Aadhaar Bank Link"" to link your Aadhaar with your Bank Account. ﻿ Step 4: In the left pane, click ""Profile"". Fill in all the mandatory details and upload the mandatory documents (Personal Details, Address Information, Other Information, Current Course, Past Qualification, and Hostel Details). Click ""Save"". ﻿ Step 5: In the left pane, click ""All Schemes"". A list of schemes will appear. Click on ""Training of Motor Driving To VJNT, SBC & OBCS. ﻿ Step 6: Fill in all the additional information and upload the mandatory documents. Click ""Submit"" to submit your application. A pop-up will appear, displaying your Application ID. Save the Application ID for future reference. Click ""OK"". ﻿ Optional: You can track the status of your application (Under Scrutiny / Approved / Rejected / Fund Disbursed) by clicking on ""My Applied Scheme History"" in the left pane.","Aadhaar Number. Proof of Identity. Proof of Age (Birth Certificate). Proof of Address. Domicile Certificate of Maharashtra. Caste Certificate VJNT or SBC Community (duly signed by an authorized Revenue Officer, not below the rank of Tehsildar). Marksheet of the Latest Educational Qualification. Bank Account Details. Passport-sized Photograph.",State,"Social welfare & Empowerment, Education & Learning",,"Motor Driving, Training, Maharashtra, School, Vimukta Jati And Nomadic Tribes, Other Backward Class, Special Backward Caste"
Tuition Fees And Examination Fees To Vjnt Students,tfefvs,"The Government of Maharashtra launched a scheme namely ""Tuition fees and examination fees to Vimukta Jati and Nomadic Tribes (VJNT) students. Scheme Objective Under the scheme, Tuition Fees, Admission Fees Term Fees Library Fees Laboratory Fees Gymkhana Fees, and Examination Fees All the students belonging to V.J. and N.T. are being reimbursed for the payment of these mentioned 7 fees at Post Matriculation Education in recognized educational institutions. Students with one failure and those not covered under the Government of India Scholarship are also held eligible for such reimbursement.","All types of compulsory fees such as Tuition fees, and Exams. Fees & other fees are reimbursed to the concerned college/institution.","He should belong to the Vimukta Jatis & Nomadic Tribes(VJNT) category. Reimbursement will be sanctioned to the students, whose parents' income is between ₹ 1,00,000 to ₹ 4,50,000.","﻿ Step 1: Visit the official website to register yourself by clicking on “ New Applicant registration ” and fill in all the mandatory details (Applicant’s Name, Username, Password, Email, and Mobile Number) ﻿ ﻿ ﻿ Step 2: Now, you may Login by filling Login details . ﻿ ﻿ Step 3: Create your profile by filling in all your updated personal details like address, qualifications, etc. Step 4: After filling in 100% of the profile information, you may apply for the eligible schemes. Scrutiny concerned college should forward his application to the concerned Asstt. Commissioner Social Welfare for sanction. ﻿ Note: Online application is to be filled out for the first year of that course only. From Ian year to the completion of the course, the application is renewed by the concerned college and forwarded to the concerned Asstt. Comm. Social Welfare for sanction.","Aadhaar Number. Domicile Certificate of Maharashtra. Caste Certificate VJNT or SBC Community (duly signed by an authorized Revenue Officer, not below the rank of Tehsildar). Family Income Certificate. Marksheet of the Latest Educational Qualification. Bank Account Details. Passport-sized Photograph.",State,Education & Learning,,"Tuition Fees, Vimukta Jati And Nomadic Tribes, Students, Examination Fees"
Tuition Fees And Examination Fees To Vjnt/sbc Students Studying In High Schools,tfefvssshs,"The Government of Maharashtra introduced Tuition fees and Examination fees to Vimukta Jati Nomadic Tribes (VJNT)/ Special Backward Classes (SBC) students studying in High Schools scheme to improve the interest of VJNT/SBC students in High Schools. To help and encourage the VJNT/SBC parents/ guardians for their children's education.  Govt. has introduced a scheme named Tuition Fee Exam. Fees to VJNT/SBC students studying in High Schools, irrespective of age and income vide Govt. Resolution No. EBC/1068/83567/J dated 24th December 1970 and G.R. No. EBC-1094/PK-91/ BCW-1 dated 29 October 1996.  Tuition fees, Examination fees, library fee, laboratory fee, and playground fee is being paid. ﻿","BPL students studying in Govt. approved aided, non-aided, permanent non-aided schools in 1st to 10th standard are being paid Rs.100/- to 200/- Education Fee as per Urban and Rural area. Tuition fees, Examination fees, Laboratory fees, Library fees, etc. fees are sanctioned and paid to concerned Govt. approved aided, non-aided, permanent non-aided schools. No other concessional benefit is admissible to such students.",He should be a student of a recognized High School. No limit on age or income. Students should belong to V.J.N.T. & S.B.C. category. Once failure is eligible. Twice failure is not eligible.,"The proposal will be submitted by Head Master of the concerned School through the concerned District Social Welfare Officer, Zillah Parishad. For Mumbai City, only proposals must be submitted to the Assistant Commissioner of Social Welfare, Mumbai City.","Aadhaar Number. Domicile Certificate of Maharashtra. Caste Certificate VJNT or SBC Community (duly signed by an authorized Revenue Officer, not below the rank of Tehsildar). Family Income Certificate. Marksheet of the Latest Educational Qualification. Bank Account Details. Passport-Sized Photograph.",State,Social welfare & Empowerment,,"Vimukta Jati Nomadic Tribes, Special Backward Class, Tuition Fees, Examination Fees, High School"
